DEPTH,BVW,CARB_FLAG,COAL_FLAG,KLOGH,KLOGV,PHIF,RHOFL,RHOMA,RW,SAND_FLAG,SW,TEMP,VSH
3791.712,0.061766,0,0,0,0,0.215903,0.9,2.66,0.0213858,0,0.2861,114.3376,1.536
3791.8644,0.065816,0,0,0,0,0.2091,0.9,2.66,0.0213853,0,0.3148,114.3411,1.5374
3792.0168,0.071973,0,0,0,0,0.2159,0.9,2.66,0.0213847,0,0.3334,114.3446,1.5222
3792.1692,0.074176,0,0,0,0,0.219881,0.9,2.66,0.0213842,0,0.3373,114.3482,1.4889
3792.3216,0.073496,0,0,0,0,0.2057,0.9,2.66,0.0213836,0,0.3573,114.3517,1.5921
3792.474,0.072683,0,0,0,0,0.189226,0.9,2.66,0.0213831,0,0.3841,114.3552,1.5024
3792.6264,0.074048,0,0,0,0,0.190215,0.9,2.66,0.0213825,0,0.3893,114.3587,1.4883
3792.7788,0.074469,0,0,0,0,0.176722,0.9,2.66,0.0213819,0,0.4214,114.3623,1.5423
3792.9312,0.072905,0,0,0,0,0.163654,0.9,2.66,0.0213814,0,0.4455,114.3658,1.5713
3793.0836,0.072932,0,0,0,0,0.164204,0.9,2.66,0.0213808,0,0.4442,114.3693,1.4313
3793.236,0.071906,0,0,0,0,0.169879,0.9,2.66,0.0213803,0,0.4233,114.3728,1.4453
3793.3884,0.06619,0,0,0,0,0.164212,0.9,2.66,0.0213797,0,0.4031,114.3764,1.4168
3793.5408,0.065191,0,0,0,0,0.171581,0.9,2.66,0.0213792,0,0.3799,114.3799,1.3632
3793.6932,0.064426,0,0,0,0,0.181237,0.9,2.66,0.0213786,0,0.3555,114.3834,1.3623
3793.8456,0.062306,0,0,0,0,0.180115,0.9,2.66,0.0213781,0,0.3459,114.387,1.2991
3793.998,0.061109,0,0,0,0,0.177844,0.9,2.66,0.0213775,0,0.3436,114.3905,1.3764
3794.1504,0.062402,0,0,0,0,0.176139,0.9,2.66,0.021377,0,0.3543,114.394,1.413
3794.3028,0.065806,0,0,0,0,0.180108,0.9,2.66,0.0213764,0,0.3654,114.3975,1.4781
3794.4552,0.067565,0,0,0,0,0.175574,0.9,2.66,0.0213758,0,0.3848,114.4011,1.4882
3794.6076,0.069627,0,0,0,0,0.176136,0.9,2.66,0.0213753,0,0.3953,114.4046,1.4679
3794.76,0.071697,0,0,0,0,0.179541,0.9,2.66,0.0213747,0,0.3993,114.4081,1.4689
3794.9124,0.071476,0,0,0,0,0.172736,0.9,2.66,0.0213742,0,0.4138,114.4116,1.5068
3795.0648,0.071549,0,0,0,0,0.172727,0.9,2.66,0.0213736,0,0.4142,114.4152,1.5278
3795.2172,0.071104,0,0,0,0,0.168188,0.9,2.66,0.0213731,0,0.4228,114.4187,1.5264
3795.3696,0.072914,0,0,0,0,0.16421,0.9,2.66,0.0213725,0,0.444,114.4222,1.5615
3795.522,0.071789,0,0,0,0,0.150586,0.9,2.66,0.021372,0,0.4767,114.4258,1.5599
3795.6744,0.074282,0,0,0,0,0.160782,0.9,2.66,0.0213714,0,0.462,114.4293,1.582
3795.8268,0.078405,0,0,0,0,0.173847,0.9,2.66,0.0213709,0,0.451,114.4328,1.4859
3795.9792,0.080131,0,0,0,0,0.18124,0.9,2.66,0.0213703,0,0.4421,114.4363,1.5035
3796.1316,0.076852,0,0,0,0,0.174441,0.9,2.66,0.0213697,0,0.4406,114.4398,1.5828
3796.284,0.070955,0,0,0,0,0.168758,0.9,2.66,0.0213692,0,0.4205,114.4434,1.5546
3796.4364,0.071666,0,0,0,0,0.17329,0.9,2.66,0.0213686,0,0.4136,114.4469,1.4901
3796.5888,0.072874,0,0,0,0,0.177268,0.9,2.66,0.0213681,0,0.4111,114.4504,1.5065
3796.7412,0.076125,0,0,0,0,0.174436,0.9,2.66,0.0213675,0,0.4364,114.454,1.5102
3796.8936,0.078096,0,0,0,0,0.176134,0.9,2.66,0.021367,0,0.4434,114.4575,1.503
3797.046,0.078111,0,0,0,0,0.181243,0.9,2.66,0.0213664,0,0.431,114.461,1.5192
3797.1984,0.076377,0,0,0,0,0.198841,0.9,2.66,0.0213659,0,0.3841,114.4645,1.5106
3797.3508,0.071973,0,0,0,0,0.207375,0.9,2.66,0.0213653,0,0.3471,114.4681,1.4816
3797.5032,0.067292,0,0,0,0,0.20001,0.9,2.66,0.0213648,0,0.3364,114.4716,1.5193
3797.6556,0.066063,0,0,0,0,0.189219,0.9,2.66,0.0213642,0,0.3491,114.4751,1.4632
3797.808,0.066346,0,0,0,0,0.194312,0.9,2.66,0.0213636,0,0.3414,114.4786,1.4182
3797.9604,0.066567,0,0,0,0,0.206802,0.9,2.66,0.0213631,0,0.3219,114.4822,1.5064
3798.1128,0.063285,0,0,0,0,0.173907,0.9,2.66,0.0213625,0,0.3639,114.4857,1.4839
3798.2652,0.066919,0,0,0,0,0.177836,0.9,2.66,0.021362,0,0.3763,114.4892,1.4179
3798.4176,0.080522,0,0,0,0,0.175004,0.9,2.66,0.0213614,0,0.4601,114.4928,1.3725
3798.57,0.079331,0,0,0,0,0.173865,0.9,2.66,0.0213609,0,0.4563,114.4963,1.3983
3798.7224,0.075421,0,0,0,0,0.194291,0.9,2.66,0.0213603,0,0.3882,114.4998,1.4373
3798.8748,0.067429,0,0,0,0,0.199993,0.9,2.66,0.0213598,0,0.3372,114.5033,1.4374
3799.0272,0.063699,0,0,0,0,0.186382,0.9,2.66,0.0213592,0,0.3418,114.5069,1.4397
3799.1796,0.062638,0,0,0,0,0.17615,0.9,2.66,0.0213587,0,0.3556,114.5104,1.4272
3799.332,0.065,0,0,0,0,0.167057,0.9,2.66,0.0213581,0,0.3891,114.5139,1.3917
3799.4844,0.068024,0,0,0,0,0.157967,0.9,2.66,0.0213576,0,0.4306,114.5175,1.4135
3799.6368,0.073435,0,0,0,0,0.155117,0.9,2.66,0.021357,0,0.4734,114.521,1.4011
3799.7892,0.075822,0,0,0,0,0.197104,0.9,2.66,0.0213564,0,0.3847,114.5245,1.4366
3799.9416,0.072689,0,0,0,0,0.191485,0.9,2.66,0.0213559,0,0.3796,114.528,1.354
3800.094,0.072754,0,0,0,0,0.182398,0.9,2.66,0.0213553,0,0.3989,114.5316,1.3164
3800.2464,0.073339,0,0,0,0,0.183521,0.9,2.66,0.0213548,0,0.3996,114.5351,1.3146
3800.3988,0.073833,0,0,0,0,0.190332,0.9,2.66,0.0213542,0,0.3879,114.5386,1.3457
3800.5512,0.073735,0,0,0,0,0.196015,0.9,2.66,0.0213537,0,0.3762,114.5421,1.4438
3800.7036,0.073094,0,0,0,0,0.207371,0.9,2.66,0.0213531,0,0.3525,114.5457,1.484
3800.856,0.067713,0,0,0,0,0.203414,0.9,2.66,0.0213526,0,0.3329,114.5492,1.5156
3801.0084,0.063529,0,0,0,0,0.206814,0.9,2.66,0.021352,0,0.3072,114.5527,1.5159
3801.1608,0.056543,0,0,0,0,0.214195,0.9,2.66,0.0213515,0,0.264,114.5563,1.5296
3801.3132,0.054907,0,0,0,0,0.206828,0.9,2.66,0.0213509,0,0.2655,114.5598,1.5108
3801.4656,0.058436,0,0,0,0,0.221004,0.9,2.66,0.0213504,0,0.2644,114.5633,1.4599
3801.618,0.065783,0,0,0,0,0.228399,0.9,2.66,0.0213498,0,0.288,114.5668,1.472
3801.7704,0.068362,0,0,0,0,0.221032,0.9,2.66,0.0213492,0,0.3093,114.5704,1.4718
3801.9228,0.07043,0,0,0,0,0.188111,0.9,2.66,0.0213487,0,0.3744,114.5739,1.4121
3802.0752,0.073944,0,0,0,0,0.18977,0.9,2.66,0.0213481,0,0.3896,114.5774,1.4086
3802.2276,0.074838,0,0,0,0,0.185233,0.9,2.66,0.0213476,0,0.404,114.581,1.3878
3802.38,0.073002,0,0,0,0,0.177851,0.9,2.66,0.021347,0,0.4105,114.5845,1.4207
3802.5324,0.073248,0,0,0,0,0.193162,0.9,2.66,0.0213465,0,0.3792,114.588,1.4883
3802.6848,0.073777,0,0,0,0,0.202828,0.9,2.66,0.0213459,0,0.3637,114.5915,1.5371
3802.8372,0.071139,0,0,0,0,0.197167,0.9,2.66,0.0213454,0,0.3608,114.5951,1.582
